cgpa,tenth_percentage,twelfth_percentage,internships,projects,aptitude_score,communication_score,coding_score,backlogs,certifications,placed
6.01,60.47,63.18,0,2,48.14,33.4,19.61,4,0,0
8.12,75.47,81.88,1,2,49.13,57.84,40.76,1,1,1
9.9,93.83,94.86,2,3,84.38,60.79,81.73,2,3,1
6.84,65.82,56.32,1,0,38.75,54.0,54.21,4,0,0
7.12,65.68,62.13,2,0,48.41,43.5,50.49,1,1,1
7.64,68.99,75.78,1,3,56.08,65.93,66.79,1,2,0
6.33,65.68,57.86,1,0,42.11,49.51,41.25,1,0,0
6.59,71.69,78.19,0,0,20.0,55.47,28.46,2,0,0
5.44,55.94,64.81,0,0,39.97,59.3,38.42,2,2,0
6.6,62.13,61.28,0,0,52.95,41.09,40.45,1,1,0
6.03,64.41,65.07,0,2,42.79,80.64,54.23,2,0,0
6.7,58.01,73.68,1,0,52.97,64.43,61.64,1,0,0
6.25,51.51,59.36,0,1,40.25,38.73,43.95,1,4,0
7.26,67.35,72.37,1,1,65.88,79.72,82.4,2,1,0
7.96,68.53,69.46,1,3,58.85,70.37,75.36,2,2,1
7.59,71.54,77.67,0,5,79.54,79.22,74.38,3,3,0
6.18,68.9,70.01,0,0,61.7,52.1,33.21,3,2,0
6.41,71.02,71.6,0,1,50.43,47.76,32.11,3,0,1
8.54,93.11,80.81,3,4,99.0,99.0,71.23,2,3,1
7.63,69.11,60.78,2,2,62.9,56.94,55.06,1,0,0
7.8,83.7,77.32,4,5,98.07,72.48,98.16,2,3,1
7.44,77.14,77.99,0,2,59.49,55.84,57.12,1,3,0
7.79,73.76,62.56,2,3,60.3,87.32,53.36,2,1,1
5.3,69.25,53.55,0,0,46.48,46.32,40.06,1,0,0
6.91,76.58,72.05,0,5,64.22,59.52,68.98,3,3,0
6.25,57.42,66.56,0,1,38.66,41.11,41.91,3,3,0
9.1,77.66,71.03,3,3,86.54,86.96,99.0,2,3,1
6.38,55.98,44.49,0,0,40.45,61.22,52.5,2,0,0
6.72,71.54,71.5,0,2,59.98,72.98,42.72,1,1,0
6.52,68.72,62.67,3,3,48.46,67.18,46.84,3,0,0
6.76,67.04,61.74,2,0,67.66,57.1,54.84,0,1,0
5.0,59.31,61.34,0,0,38.67,48.59,25.64,3,0,0
6.67,63.84,53.41,1,2,36.03,35.62,30.37,0,3,0
7.08,77.35,67.75,0,3,70.67,41.09,79.21,0,0,0
6.78,63.01,64.33,3,4,70.94,68.23,43.52,1,2,1
8.18,72.3,74.46,0,2,38.42,38.29,15.0,1,0,0
8.48,71.72,72.09,2,3,86.27,86.23,88.38,1,3,1
6.73,56.91,70.34,0,2,39.72,46.07,38.95,4,0,0
6.85,74.23,65.88,1,2,58.71,38.42,20.9,2,0,0
8.19,84.09,66.5,0,3,41.27,48.77,40.42,1,2,0
5.26,52.87,60.99,1,1,62.17,72.28,53.37,1,0,0
6.27,76.63,57.6,0,1,46.3,72.6,48.32,2,0,0
7.65,77.44,69.53,0,1,65.15,58.09,71.63,1,2,1
7.04,70.95,70.32,1,1,56.86,65.32,55.25,2,1,0
7.47,73.93,78.64,1,2,51.11,46.78,54.54,2,1,0
5.87,47.22,55.4,0,2,39.82,51.8,52.49,4,0,0
8.98,76.76,85.83,2,7,99.0,78.62,92.81,0,1,1
6.03,68.88,79.16,2,6,69.77,83.63,99.0,1,3,1
6.61,60.18,65.85,0,1,62.8,53.94,44.91,2,0,0
8.95,85.23,80.01,3,7,85.48,70.8,80.54,2,2,1
6.76,59.21,76.02,2,3,60.38,65.9,43.98,1,2,0
7.56,72.01,67.8,0,2,51.48,90.84,56.38,0,3,0
7.66,84.26,77.78,2,0,58.99,84.86,47.07,2,2,1
8.64,77.87,68.01,2,2,70.75,68.98,93.27,1,2,1
7.46,76.53,63.88,2,6,73.42,58.04,66.57,3,2,1
7.85,76.21,68.77,3,4,82.96,91.48,69.1,3,4,1
7.12,71.39,79.34,2,0,70.79,59.13,77.61,2,2,1
8.44,81.18,78.79,1,5,59.37,59.47,40.49,1,2,1
8.0,81.82,82.28,4,3,67.64,66.04,78.35,2,2,1
7.77,71.86,70.15,2,3,90.32,93.9,95.94,3,2,1
6.83,67.8,65.93,2,1,56.08,87.33,45.97,2,1,0
9.04,79.73,82.54,3,1,62.68,72.41,66.66,2,4,1
6.53,50.73,54.73,0,1,47.2,46.58,50.92,2,1,0
6.91,58.48,62.37,0,0,38.15,48.18,22.54,2,0,1
7.21,74.91,77.89,4,0,78.31,86.8,82.47,3,4,1
5.82,65.26,45.92,1,1,43.55,54.21,31.6,3,1,0
7.33,76.67,79.77,2,3,63.76,60.08,59.75,2,2,0
8.38,86.02,85.0,0,0,59.16,63.07,28.1,0,1,0
8.89,84.87,81.53,2,6,96.61,83.22,99.0,1,5,1
8.76,82.42,88.39,1,4,69.34,86.37,77.79,0,3,1
7.56,59.74,73.49,2,3,50.92,66.17,51.96,3,3,0
8.29,81.75,71.0,2,1,68.27,70.82,64.29,1,1,0
6.21,67.23,64.34,1,1,58.18,49.32,60.1,2,0,0
8.9,90.87,80.75,3,1,85.67,89.86,76.76,0,3,1
7.77,79.12,76.69,2,2,77.97,47.93,75.73,2,3,1
5.27,52.51,58.11,1,0,31.05,47.13,34.99,1,0,0
6.32,57.41,57.95,1,0,31.49,54.27,32.68,2,0,0
7.8,82.16,72.85,1,2,79.29,65.5,65.81,1,1,0
6.78,60.12,58.54,4,2,52.96,64.06,71.49,3,2,1
7.78,75.81,71.1,2,7,77.3,52.88,76.48,4,1,0
7.18,67.82,60.06,0,0,45.86,49.05,27.21,2,0,0
7.37,74.18,83.33,3,1,62.76,44.49,50.15,1,4,0
8.87,79.34,85.55,2,5,88.0,67.85,80.23,1,5,1
8.28,75.4,65.73,1,5,63.39,41.79,71.39,2,1,0
9.64,93.57,77.03,2,4,74.02,76.86,85.07,0,1,1
6.49,52.23,59.24,0,1,52.4,68.98,45.61,2,0,0
8.19,81.75,73.06,0,2,51.19,68.09,56.17,3,2,0
7.78,76.22,70.9,1,3,65.59,70.73,71.05,2,3,0
6.14,63.53,65.97,0,0,42.84,45.03,34.14,3,5,0
9.05,84.95,83.51,2,5,69.94,50.87,91.61,0,3,1
8.08,71.9,62.79,1,4,64.39,67.16,47.83,0,0,1
7.86,68.74,79.81,1,2,55.02,55.24,64.94,0,2,0
